fips,year,firms,bds_emp,firm_birth_rate
18031,2015,542.0,11145.0,
18033,2015,812.0,19047.0,
18035,2015,1836.0,40403.0,
18037,2015,1058.0,27073.0,
18039,2015,3818.0,122959.0,
18041,2015,372.0,5524.0,
18043,2015,1451.0,27460.0,
18045,2015,256.0,3557.0,
18047,2015,378.0,4526.0,
18049,2015,390.0,5273.0,
18051,2015,590.0,16886.0,
18053,2015,1043.0,29244.0,
18055,2015,493.0,5016.0,
18057,2015,6469.0,133228.0,
18059,2015,1180.0,20381.0,
18061,2015,576.0,9003.0,
18063,2015,2352.0,54630.0,
18065,2015,671.0,10559.0,
18067,2015,1373.0,30903.0,
18069,2015,719.0,12133.0,
18071,2015,824.0,20063.0,
18073,2015,625.0,9582.0,
18075,2015,327.0,6392.0,
18077,2015,566.0,11854.0,
18079,2015,336.0,6557.0,
18081,2015,2559.0,47555.0,
18083,2015,771.0,14159.0,
18085,2015,1576.0,37389.0,
18087,2015,690.0,12001.0,
18089,2015,7626.0,169563.0,
18091,2015,1911.0,34940.0,
18093,2015,725.0,11692.0,
18095,2015,1758.0,36162.0,
18097,2015,15331.0,498977.0,
18099,2015,911.0,17615.0,
18101,2015,169.0,2419.0,
18103,2015,500.0,7291.0,
18105,2015,2287.0,48936.0,
18107,2015,716.0,13369.0,
18109,2015,945.0,11898.0,
18111,2015,225.0,2379.0,
18113,2015,738.0,15729.0,
18115,2015,76.0,1058.0,
18117,2015,319.0,5819.0,
18119,2015,257.0,2975.0,
18121,2015,213.0,2049.0,
18123,2015,312.0,5753.0,
18125,2015,180.0,2181.0,
18127,2015,2852.0,55263.0,
18129,2015,409.0,8515.0,
18131,2015,270.0,3483.0,
18133,2015,578.0,11410.0,
18135,2015,406.0,6215.0,
18137,2015,508.0,9625.0,
18139,2015,326.0,3539.0,
18141,2015,4352.0,118408.0,
18143,2015,357.0,6378.0,
18145,2015,785.0,14111.0,
18147,2015,344.0,5208.0,
18149,2015,272.0,3095.0,
18151,2015,812.0,14335.0,
18153,2015,297.0,4243.0,
18155,2015,111.0,1538.0,
18157,2015,2668.0,64226.0,
18159,2015,257.0,4105.0,
18161,2015,97.0,915.0,
18163,2015,3786.0,100839.0,
18165,2015,224.0,3284.0,
18167,2015,1930.0,43224.0,
18169,2015,604.0,11012.0,
18171,2015,116.0,1621.0,
18173,2015,930.0,13741.0,
18175,2015,374.0,4527.0,
18177,2015,1155.0,25278.0,
18179,2015,531.0,10292.0,
18181,2015,506.0,7348.0,
18183,2015,581.0,11910.0,
18999,2015,357.0,94674.0,
19001,2015,187.0,2149.0,
19003,2015,95.0,1062.0,
19005,2015,303.0,4183.0,
19007,2015,269.0,3643.0,
19009,2015,165.0,1102.0,
19011,2015,475.0,4273.0,
19013,2015,2423.0,69266.0,
19015,2015,505.0,7303.0,
19017,2015,523.0,9375.0,
19019,2015,400.0,5488.0,
19021,2015,467.0,9323.0,
19023,2015,270.0,2710.0,
19025,2015,225.0,2217.0,
19027,2015,711.0,9933.0,
19029,2015,404.0,4677.0,
19031,2015,401.0,4451.0,
19033,2015,1114.0,20301.0,
19035,2015,298.0,3747.0,
19037,2015,329.0,3963.0,
19039,2015,164.0,3218.0,
19041,2015,526.0,7244.0,
19043,2015,427.0,5074.0,
19045,2015,920.0,18328.0,
19047,2015,369.0,6512.0,
19049,2015,1463.0,39229.0,
19051,2015,148.0,1282.0,
19053,2015,131.0,1854.0,
19055,2015,423.0,6008.0,
19057,2015,889.0,19472.0,
19059,2015,629.0,6833.0,
19061,2015,2166.0,55463.0,
19063,2015,264.0,3284.0,
19065,2015,465.0,6239.0,
19067,2015,331.0,4483.0,
19069,2015,273.0,3290.0,
19071,2015,125.0,1558.0,
19073,2015,228.0,2855.0,
19075,2015,257.0,3278.0,
19077,2015,232.0,1740.0,
19079,2015,335.0,4368.0,
19081,2015,249.0,3650.0,
19083,2015,446.0,5445.0,
19085,2015,304.0,3177.0,
19087,2015,443.0,8083.0,
19089,2015,216.0,3039.0,
19091,2015,253.0,3188.0,
19093,2015,226.0,3010.0,
19095,2015,404.0,7805.0,
19097,2015,450.0,5339.0,
19099,2015,606.0,8371.0,
19101,2015,532.0,6902.0,
19103,2015,2582.0,61333.0,
