fips,tariff_exposure_share,tariff_exposure_weighted,emp_total_2017
13095,0.0003999082563411923,4.8085854352444406e-05,340078
13097,0.0012209119999512853,0.00013055537794990304,328443
13099,0.0033111212284259754,0.0004149741515744578,24161
13101,0.017530291312193864,0.0021057727978671895,3879
13103,0.0015293529776956739,0.0001529352977695674,66041
13105,0.0025186729199235714,0.0002518672919923571,34542
13107,0.009397203758881503,0.0009397203758881504,39267
13109,0.002036268633779007,0.0002036268633779007,26028
13111,0.0,0.0,41235
13113,0.0009604012596360735,0.00011967356942349462,350895
13115,0.0007526927317445509,9.303999105542656e-05,282984
13117,0.003456973268870292,0.00042858020507478443,595897
13119,0.0,0.0,49427
13121,0.0016176229555976626,0.00018358882688261467,7290945
13123,0.0,0.0,43970
13125,0.0,0.0,1391
13127,0.0,0.0,277624
13129,0.0014105766885723515,0.0001832012892516086,151711
13131,0.007937646440013388,0.001152848649620992,41826
13133,0.002406867595539272,0.0002406867595539272,37393
13135,0.0031638215931309873,0.00037417625380416355,3085509
13137,0.0,0.0,84822
13139,0.013457830071902746,0.0019529210270930678,663257
13141,0.0,0.0,3003
13143,0.0,0.0,43274
13145,0.00035253472467038,3.5253472467038e-05,28366
13147,0.0,0.0,38980
13149,0.0,0.0,10861
13151,0.00015958172789215636,1.5958172789215636e-05,476245
13153,8.572689085294074e-05,1.0049472465302987e-05,478263
13155,0.0,0.0,10095
13157,0.0004950626813233611,5.8678645354539e-05,187855
13159,0.0,0.0,11262
13161,0.0,0.0,24073
13163,0.003527082958430808,0.00035270829584308085,27785
13165,0.0,0.0,5939
13167,0.0,0.0,7301
13169,0.001526880193168099,0.0001526880193168099,28162
13171,0.0019606905456458325,0.00024149968915881592,20911
13173,0.00829062405788363,0.0008882811490589604,6634
13175,0.0,0.0,135261
13177,0.0011473896884587563,0.0001417363732801993,40091
13179,0.0,0.0,131029
13181,0.0,0.0,6591
13183,0.0,0.0,1914
13185,0.0005032189142841078,5.772892552236646e-05,355710
13187,0.0003764047964725493,3.764047964725494e-05,37194
13189,0.0,0.0,42019
13191,0.0,0.0,8435
13193,0.004005916430420314,0.00044519965017931253,16226
13195,0.0006522853282392955,6.522853282392956e-05,21463
13197,0.0,0.0,5980
13199,0.0,0.0,29976
13201,0.002623773671001597,0.00037898953025578626,8766
13205,0.004935058557784379,0.0005814570294666242,40729
13207,0.001684643040575244,0.0001684643040575244,48675
13209,0.00672211461775094,0.0006722114617750941,8777
13211,0.0008266309204647006,8.266309204647007e-05,44760
13213,0.03585398661080103,0.0035853986610801043,64679
13215,0.0006656170575835183,7.685178428460074e-05,719633
13217,0.0,0.0,177806
13219,0.0,0.0,81786
13221,0.0,0.0,10498
13223,0.0010314010314010314,0.00010314010314010315,185185
13225,0.0,0.0,55014
13227,0.0,0.0,47699
13229,0.005312611505372081,0.0005312611505372081,25223
13231,0.0,0.0,17464
13233,0.0,0.0,71426
13235,0.0,0.0,14194
13237,0.0,0.0,33534
13239,0.0,0.0,1277
13241,0.0006162378678169774,6.162378678169774e-05,32455
13243,0.013577489950870925,0.001370509793913099,11195
13245,0.00016102266213720333,1.6102266213720335e-05,832181
13247,0.00034792319917529316,3.479231991752932e-05,232810
13249,0.0,0.0,3505
13251,0.0075055644702106735,0.0007505564470210674,19319
13253,0.0011079971322427164,0.00011871397845457676,15343
13255,0.0006666666666666666,8.80952380952381e-05,169500
13257,0.0,0.0,54964
13259,0.0,0.0,6691
13261,0.0008079261810605095,9.538960373025343e-05,70551
13263,0.0,0.0,3725
13265,0.0,0.0,614
13267,0.007322574031223456,0.0008171278221378916,34141
13269,0.0,0.0,9973
13271,0.0031187978451942162,0.00031187978451942163,17635
13273,0.0,0.0,14764
13275,0.002624406303972366,0.0002640790772267457,148224
13277,0.0019067242784432518,0.00023426970408318648,130066
13279,0.004335147238784596,0.0005207463451466863,76814
13281,0.0,0.0,17262
13283,0.0,0.0,5992
13285,0.004237361661073534,0.0004922976515995454,288151
